( 3.97, 2.94)
( 3.61, 2.36)
( 3.23, 1.79)
( 3.10, 1.59)
( 2.72, 1.02)
( 2.36, 0.43)
( 1.98,-0.14)
( 1.62,-0.72)
( 1.65,-0.75)
( 1.11,-1.17)
( 0.93,-1.32)
( 0.95,-1.35)
( 0.73,-1.42)
( 0.52,-1.50)
( 0.30,-1.58)
( 0.30,-1.54)
( 0.07,-1.55)
(-0.16,-1.55)
(-0.15,-1.52)
(-0.37,-1.45)
(-0.59,-1.38)
(-0.58,-1.35)
(-0.81,-1.35)
(-1.04,-1.36)
(-1.73,-1.38)
(-1.95,-1.39)
(-1.96,-1.35)
(-2.60,-1.60)
(-2.82,-1.67)
(-2.84,-1.64)
(-3.01,-1.78)
(-3.19,-1.92)
(-3.72,-2.36)
(-3.69,-2.39)
(-3.82,-2.58)
(-3.85,-2.56)
(-3.90,-2.78)
(-3.96,-3.00)
(-4.00,-3.00)
